Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
PRY;10;600;600;Paraguay;0;17;0.242105263;23;2;MIR
PER;10;604;604;Peru;0;67;2.5;2;2;MIR
PHL;10;608;608;Philippines;0;97;0.041666667;9;1;MIR
POL;10;616;616;Poland;0;260;4.666666667;69;3;MIR
PRT;10;620;620;Portugal;0;54;0.243243243;53;2;MIR
GNB;10;624;624;Guinea-Bissau;0;2;1;1;2;MIR
TLS;10;626;626;Timor-Leste;0;0;Inf;0;0;MIR
PRI;10;630;630;Puerto Rico;0;7;0.093333333;25;1;MIR
QAT;10;634;634;Qatar;0;1;0.409090909;3;1;MIR
REU;10;638;638;France, La Réunion;0;3;0.212121212;33;1;MIR
ROU;10;642;642;Romania;0;142;0.492307692;75;4;MIR
RUS;10;643;643;Russian Federation;0;390;0.267857143;27;2;MIR
RWA;10;646;646;Rwanda;0;14;0.739130435;1;2;MIR
LCA;10;662;662;Saint Lucia;0;0;Inf;0;0;MIR
STP;10;678;678;Sao Tome and Principe;0;0;Inf;0;0;MIR
SAU;10;682;682;Saudi Arabia;0;40;0.464285714;11;1;MIR
SEN;10;686;686;Senegal;0;48;0.712121212;27;5;MIR
SRB;10;688;688;Serbia;0;51;0.37704918;59;3;MIR
SLE;10;694;694;Sierra Leone;0;3;1;4;0;MIR
SGP;10;702;702;Singapore;0;19;2.666666667;32;2;MIR
SVK;10;703;703;Slovakia;0;71;58;13;7;MIR
VNM;10;704;704;Viet Nam;0;287;0.5;29;2;MIR
SVN;10;705;705;Slovenia;0;3;0.16;14;0;MIR
SOM;10;706;706;Somalia;0;35;0.8;21;4;MIR
ZAF;10;710;710;South Africa;0;224;0.445783133;37;4;MIR
ZWE;10;716;716;Zimbabwe;0;55;0.653061224;36;7;MIR
ESP;10;724;724;Spain;0;165;2.333333333;35;2;MIR
SSD;10;728;728;South Sudan;0;23;0.717391304;2;4;MIR
SDN;10;729;729;Sudan;0;22;0.583333333;5;1;MIR
SUR;10;740;740;Suriname;0;0;0;0;0;MIR
SWZ;10;748;748;Eswatini;0;6;0.894117647;51;8;MIR
