Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
TKM,10,795,795,Turkmenistan,0,40,0.7,0.64,0.07,incidence
UGA,10,800,800,Uganda,0,116,0.6,0.24,0.07,incidence
UKR,10,804,804,Ukraine,0,365,0.45,0.85,0.06,incidence
MKD,10,807,807,North Macedonia,0,13,0.34,0.62,0.04,incidence
EGY,10,818,818,Egypt,0,346,0.38,0.33,0.04,incidence
GBR,10,826,826,United Kingdom,0,1929,1.5,2.8,0.18,incidence
TZA,10,834,834,"Tanzania, United Republic of",0,556,1.7,0.88,0.19,incidence
USA,10,840,840,United States of America,0,9024,1.5,2.7,0.19,incidence
BFA,10,854,854,Burkina Faso,0,114,0.84,0.52,0.08,incidence
URY,10,858,858,Uruguay,0,61,1,1.7,0.12,incidence
UZB,10,860,860,Uzbekistan,0,247,0.76,0.72,0.09,incidence
VEN,10,862,862,Venezuela,0,317,0.95,1.1,0.13,incidence
WSM,10,882,882,Samoa,0,0,0,0,0,incidence
YEM,10,887,887,Yemen,0,22,0.12,0.07,0.01,incidence
ZMB,10,894,894,Zambia,0,61,0.5,0.31,0.05,incidence
,,,,Total,,54306,0.54,0.69,0.06,incidence
AFG,30,4,4,Afghanistan,0,459,2.4,1.1,0.28,incidence
ALB,30,8,8,Albania,0,486,8.2,17,0.89,incidence
DZA,30,12,12,Algeria,0,3240,7.2,7.1,0.9,incidence
AGO,30,24,24,Angola,0,491,2.9,1.4,0.3,incidence
AZE,30,31,31,Azerbaijan,0,658,5.4,6.4,0.66,incidence
ARG,30,32,32,Argentina,0,3713,5.2,8.1,0.61,incidence
AUS,30,36,36,Australia,0,4454,7.4,17.1,0.83,incidence
AUT,30,40,40,Austria,0,1955,8.2,21.6,0.99,incidence
BHS,30,44,44,Bahamas,0,6,1.2,1.5,0.09,incidence
BHR,30,48,48,Bahrain,0,65,7.3,3.6,0.74,incidence
BGD,30,50,50,Bangladesh,0,1633,1.1,0.97,0.13,incidence
ARM,30,51,51,Armenia,0,368,7,12.4,0.85,incidence
BRB,30,52,52,Barbados,0,12,1.6,4.2,0.23,incidence
BEL,30,56,56,Belgium,0,3821,12.9,32.8,1.6,incidence
BTN,30,64,64,Bhutan,0,4,0.51,0.51,0.07,incidence
BOL,30,68,68,Bolivia,0,123,1,1,0.13,incidence
BIH,30,70,70,Bosnia Herzegovina,0,670,9.2,20.6,1.2,incidence
